Contrast,Dissimilarity,Homogeneity,Energy,Correlation,ASM,Label
[[0.06125827 0.09242576 0.06125813 0.09419743]],[[0.06049389 0.09053845 0.06061735 0.09160544]],[[0.96982938 0.954919   0.96975533 0.95445518]],[[0.34396093 0.33434115 0.3440086  0.333846  ]],[[0.99752551 0.99626619 0.99752539 0.99619466]],[[0.11830912 0.11178401 0.11834192 0.11145315]],corrosion
[[0.68324722 3.77901786 3.4574199  3.81803008]],[[0.42108506 1.13117358 1.06422147 1.1391369 ]],[[0.8123913  0.6122578  0.6290557  0.61069817]],[[0.22115121 0.1610043  0.16454469 0.16062595]],[[0.97403478 0.85264615 0.86559837 0.85064762]],[[0.04890786 0.02592238 0.02707496 0.0258007 ]],corrosion
[[0.31717225 0.40277417 0.26907786 0.42496231]],[[0.24789955 0.28897328 0.21555747 0.29703769]],[[0.88167767 0.86432377 0.89642758 0.86130407]],[[0.27822701 0.2698307  0.28362906 0.26855298]],[[0.98813632 0.98493302 0.98993454 0.98410293]],[[0.07741027 0.0728086  0.08044545 0.0721207 ]],corrosion
[[0.4429663  1.38273995 0.96204937 1.05897151]],[[0.27259013 0.54719392 0.44094828 0.48633563]],[[0.87876691 0.78657546 0.81769835 0.79880036]],[[0.25342015 0.22056733 0.23343808 0.22424791]],[[0.98595969 0.95585572 0.96935222 0.96624336]],[[0.06422177 0.04864995 0.05449334 0.05028713]],corrosion
[[0.65523108 1.31817669 0.90497901 1.18991813]],[[0.42182739 0.6416568  0.51859257 0.61138196]],[[0.81044189 0.73592023 0.77515528 0.7433521 ]],[[0.20801928 0.18458922 0.19636425 0.1866066 ]],[[0.96988437 0.93944491 0.95839934 0.94533973]],[[0.04327202 0.03407318 0.03855892 0.03482202]],corrosion
[[2.33216039 3.78752647 2.41297947 3.30127053]],[[0.8472595  1.11814295 0.86964826 1.04285029]],[[0.69948025 0.6451255  0.69213666 0.65545185]],[[0.27553936 0.26657375 0.27460914 0.26644313]],[[0.93107439 0.88774714 0.92864609 0.90223526]],[[0.07592194 0.07106156 0.07541018 0.07099194]],corrosion
[[0.37233263 0.63133887 0.43571683 0.6848765 ]],[[0.22076197 0.30051073 0.24074866 0.31140398]],[[0.90337206 0.87742361 0.89702371 0.87476068]],[[0.35293439 0.34425827 0.35133711 0.34287716]],[[0.98143929 0.96857732 0.97830316 0.96591402]],[[0.12456268 0.11851376 0.12343777 0.11756475]],corrosion
[[2.19781191 3.46541706 2.19518279 3.53649893]],[[0.5352111  0.69713641 0.44596727 0.68168667]],[[0.80971408 0.77085446 0.84797435 0.7791156 ]],[[0.20353604 0.18995841 0.21870271 0.19299607]],[[0.93441249 0.89612989 0.93441185 0.89404722]],[[0.04142692 0.0360842  0.04783087 0.03724748]],corrosion
[[0.52156069 0.79858352 0.54149405 0.83099436]],[[0.30730744 0.40474645 0.3227564  0.41422215]],[[0.86596077 0.8314752  0.85848795 0.82879119]],[[0.26062414 0.24614092 0.25598819 0.24538409]],[[0.97117717 0.95587305 0.97006271 0.95408189]],[[0.06792494 0.06058535 0.06552996 0.06021335]],corrosion
[[1.42123154 2.37146152 1.78784232 2.33790675]],[[0.6683576  0.90307669 0.76494621 0.89171067]],[[0.72919477 0.66226408 0.69892587 0.66584192]],[[0.18782031 0.17422937 0.18162465 0.17457539]],[[0.94911532 0.91510073 0.93605106 0.91631038]],[[0.03527647 0.03035587 0.03298751 0.03047657]],corrosion
